if(weekyears > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(calculateWeekyears){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getExpression!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(endOfDay == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 70000){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears < 0..){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(startTime < endTime){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(endOfDay == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(totalWeekyears!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getWeeks!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getMinis!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getEpoch!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 1 day){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(-weekyears > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 3600){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(numWeekyears == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getTimeZone == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if([weekyears > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getInterval == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getUpdates!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(int weekyears>0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getSymbol!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getClosed ( )){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(nextWeekyear == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getFields!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(addWeekyears == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getWeekYears!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 50000){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getMilles!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(addWeekyears > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(lastWeekyears == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears!=0..){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getId()!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(dayOfWeek == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(allWeekyears == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(existingWeekyears == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears>0d){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getLocalClock!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(currentWeekyears!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getRecurrence!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if((weekyears!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getStartDate!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(calendarTime!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(numWeekyears!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(time.isZero()){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getDuration() > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getMillis!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears!=0d){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(newWeekyears!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(setMillis == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getUnits!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 1 year){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if((weekyears>0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 30000){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(date.isZero()){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getPatterns!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(currentWeekyears > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getStartTime!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getCount() == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(enableWeekyears == true){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if({weekyears!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 0f){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getMillis.length){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 1..){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(currentWeekyear == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getWeekyears == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears >-1){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getMillis <= 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getWorkbook!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(startTime > endTime){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(countWeekyears > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(dayOfWeek!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(lastWeekyears!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(int weeksyears > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(numWeekYears > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getRepeatCount > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(addWeekyears<0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getDays() > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > +1){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getAddWeekyears()){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(calendarComponent!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getTimeUnit!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(calendarName!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getCalendar == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(existingWeekyears!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > daycount){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears==-1){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getNaive ( )){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getMinutes == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if({weekyears>0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getMillis >= 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(dayOfWeek == 1){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(definedWeekyears == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(numWeekyears > 1){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(allWeekYears == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(of weekyears > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(maxWeekyears > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getMaxDays > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(nbWeekyears > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(config.enableWeekyears){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getDayNumber!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getMonthNumber!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(allWeekyears == 1){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 0D){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(this.enableWeekyears){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > -1000){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if($weekyears!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(*weekyears >= 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getTimezone == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(allWeekyears!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getNumDays > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(addWeekyears>0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getDateTime!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(calendarClass!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(enableWeekyears!=false){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getTimeZone!= null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 40000){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(lastWeekyear == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears <= 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(theWeekyears == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(day.day == day){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(nextWeekyear!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getWeekyear == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(double weekyears > 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(currentWeekyears < 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(numWeekyears == 1){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(addWeekyears == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(addWeekyears == 1){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getIsComplete ( )){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears < weekdays){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getMillis.enabled){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getTime()!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(numberOfDays > 1){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(isMillis == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(0 == weekyears++){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(int weekyears < 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(definedWeekyears == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getPeriod == null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getNaive ()){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 60000000){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(defined(weekyears)){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getWeekyears == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(nextWeekyear < 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(dayOfWeek!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getInterval!=0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getClosed ()){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getEpoch == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 7000000){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 0.){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears < daycount){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(dayOfWeek == 7){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(endOfWeek!=null){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 0x){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(endOfWeek == 0){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(addWeekyears(false){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears>0L){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(getSingleton ()){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(int weekyears > 1){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 0 ){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(weekyears > 0	){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
if(week years > weekyears){setMillis(getChronology().weekyears().add(getMillis(), weekyears)); }
